"(x,y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(3, 96)",2017,08,8,123,130,Improved,1985,2731
"(3, 97)",2017,08,8,123,130,Improved,1985,2731
"(3, 98)",2017,08,8,123,130,Improved,1985,2731
"(3, 99)",2017,08,8,123,130,Improved,1985,2731
"(3, 100)",2017,08,8,123,130,Improved,1985,2731
"(3, 101)",2017,08,8,123,130,Improved,1985,2731
"(3, 102)",2017,08,8,123,130,Improved,1985,2731
"(3, 103)",2017,08,8,123,130,Improved,1985,2731
"(3, 104)",2017,08,8,123,130,Improved,1985,2731
"(3, 105)",2017,08,8,123,130,Improved,1985,2731
"(3, 106)",2017,08,8,123,130,Improved,1985,2731
"(3, 107)",2017,08,8,123,130,Improved,1985,2731
"(3, 108)",2017,08,8,123,130,Improved,1985,2731
"(3, 109)",2017,08,8,123,130,Improved,1985,2731
"(3, 110)",2017,08,8,123,130,Improved,1985,2731
"(3, 111)",2017,08,8,123,130,Improved,1985,2731
"(3, 112)",2017,08,8,123,130,Improved,1985,2731
"(3, 113)",2017,08,8,123,130,Improved,1985,2731
"(3, 114)",2017,08,8,123,130,Improved,1985,2731
"(3, 115)",2017,08,8,123,130,Improved,1985,2731
"(3, 116)",2017,08,8,123,130,Improved,1985,2731
"(3, 117)",2017,08,8,123,130,Improved,1985,2731
"(3, 118)",2017,08,8,123,130,Improved,1985,2731
"(3, 119)",2017,08,8,123,130,Improved,1985,2731
"(3, 120)",2017,08,8,123,130,Improved,1985,2731
"(3, 121)",2017,08,8,123,130,Improved,1985,2731
"(3, 122)",2017,08,8,123,130,Improved,1985,2731
"(3, 123)",2017,08,8,123,130,Improved,1985,2731
"(3, 124)",2017,08,8,123,130,Improved,1985,2731
"(3, 125)",2017,08,8,123,130,Improved,1985,2731
"(3, 126)",2017,08,8,123,130,Improved,1985,2731
"(3, 127)",2017,08,8,123,130,Improved,1985,2731
"(3, 128)",2017,08,8,123,130,Improved,1985,2731
"(3, 129)",2017,08,8,123,130,Improved,1985,2731
"(3, 130)",2017,08,8,123,130,Improved,1985,2731
"(3, 131)",2017,10,8,141,134,Model A,1995,2978
"(3, 132)",2017,10,8,141,134,Model A,1995,2978
"(3, 133)",2017,10,8,141,134,Model A,1995,2978
"(3, 134)",2017,10,8,141,134,Model A,1995,2978
"(3, 135)",2017,09,8,170,137,Model A,1994,3139
"(3, 136)",2017,09,8,170,137,Model A,1994,3139
"(3, 137)",2017,09,8,170,137,Model A,1994,3139
"(3, 138)",2017,09,8,536,145,Premium Apartment,1999,3345
"(3, 139)",2017,09,8,536,145,Premium Apartment,1999,3345
"(3, 140)",2017,09,8,536,145,Premium Apartment,1999,3345
"(3, 141)",2017,09,8,536,145,Premium Apartment,1999,3345
"(3, 142)",2017,09,8,536,145,Premium Apartment,1999,3345
"(3, 143)",2017,09,8,536,145,Premium Apartment,1999,3345
"(3, 144)",2017,09,8,536,145,Premium Apartment,1999,3345
"(3, 145)",2017,09,8,536,145,Premium Apartment,1999,3345
"(3, 146)",2017,10,8,834,147,Apartment,1994,3537
"(3, 147)",2017,10,8,834,147,Apartment,1994,3537
"(3, 148)",2017,09,8,114,170,Apartment,1995,3647
"(3, 149)",2017,09,8,114,170,Apartment,1995,3647
"(3, 150)",2017,09,8,114,170,Apartment,1995,3647
